IM/JO/178,JO,178,T/JO/606,False,11/1679,1679-10-14 00:00:00,Tolbooth,Bo'ness,False,,jhm,2001-08-16 14:22:07,jhm,2001-08-16 14:22:16
IM/JO/179,JO,179,T/JO/607,False,11/1679,1679-10-14 00:00:00,Tolbooth,Bo'ness,False,,jhm,2001-08-16 14:27:19,jhm,2001-08-16 14:27:29
IM/JO/18,JO,18,T/JO/91,False,,,Castle,Dirleton,False,,jhm,2001-06-13 10:26:04,LEM,2002-10-28 12:54:48
IM/JO/180,JO,180,T/JO/608,False,11/1679,1679-10-14 00:00:00,Tolbooth,Bo'ness,False,,jhm,2001-08-16 14:31:32,jhm,2001-08-16 14:31:40
IM/JO/181,JO,181,T/JO/613,False,3/1679,1679-02-11 00:00:00,Tolbooth,Canongate,False,Released,jhm,2001-08-16 16:01:35,jhm,2001-08-16 16:01:51
IM/JO/182,JO,182,T/JO/615,False,1/1677,1676-12-13 00:00:00,Tolbooth,Paisley,False,Moved,jhm,2001-08-17 09:31:14,jhm,2001-08-17 10:19:07
IM/JO/183,JO,183,T/JO/616,False,1/1677,1676-12-13 00:00:00,Tolbooth,Paisley,False,,jhm,2001-08-17 09:41:39,LEM,2002-01-16 10:58:29
IM/JO/184,JO,184,T/JO/614,False,1/1677,1676-12-13 00:00:00,,,False,,jhm,2001-08-17 09:44:27,jhm,2001-08-17 09:57:44
IM/JO/185,JO,185,T/JO/617,False,1/1677,1676-12-13 00:00:00,Tolbooth,Paisley,False,,jhm,2001-08-17 09:52:07,LEM,2002-01-16 12:09:26
IM/JO/186,JO,186,T/JO/618,False,1/1677,1676-12-13 00:00:00,Tolbooth,Paisley,False,,jhm,2001-08-17 10:00:34,LEM,2002-01-16 12:26:30
IM/JO/187,JO,187,T/JO/619,False,2/1677,1677-01-14 00:00:00,,,False,,jhm,2001-08-17 10:11:48,jhm,2001-08-17 10:11:52
IM/JO/188,JO,188,T/JO/615,False,4/1677,1677-03-14 00:00:00,Tolbooth,Glasgow,False,,jhm,2001-08-17 10:18:39,jhm,2001-08-17 10:18:57
IM/JO/189,JO,189,T/JO/620,False,,,Tolbooth,Haddington,False,,jhm,2001-08-17 10:33:55,jhm,2002-10-11 16:54:07
IM/JO/19,JO,19,T/JO/92,False,6/1649,1649-05-07 00:00:00,,Dirleton,False,,jhm,2001-06-13 10:48:49,jhm,2002-10-11 16:41:10
IM/JO/190,JO,190,T/JO/621,False,6/1677,1677-05-14 00:00:00,Tolbooth,Dumbarton,False,,jhm,2001-08-17 11:32:07,jhm,2001-08-17 11:32:21
