MaliceRef,MaliceSystemId,MaliceID,CaseRef,Causeofmalice,Createdby,Createdate,Lastupdatedby,Lastupdatedon
MA/LA/70,LA,70,C/EGD/1058,Revenge for being called a witch,LEM,2002-05-07 09:21:01,LEM,2002-05-07 09:21:05
MA/LA/8,LA,8,C/EGD/183,Debt,LEM,2001-05-22 14:45:49,LEM,2001-05-22 14:45:52
MA/LA/80,LA,80,C/EGD/434,Business interactions,LEM,2002-06-13 10:03:18,LEM,2002-06-13 10:03:20
MA/LA/81,LA,81,C/EGD/434,Failed business interaction,LEM,2002-06-13 10:03:21,LEM,2002-06-13 10:03:36
MA/LA/9,LA,9,C/EGD/183,Failed business interaction,LEM,2001-05-22 14:47:46,LEM,2001-05-22 14:49:21
MA/LA/93,LA,93,C/EGD/217,Social slight,LEM,2002-07-10 10:12:56,LEM,2002-07-10 10:13:06
MA/LA/94,LA,94,C/EGD/784,Revenge,LEM,2002-07-15 12:54:10,LEM,2002-07-15 12:54:13
MA/LA/95,LA,95,C/EGD/783,Social slight,LEM,2002-07-15 16:42:31,LEM,2002-07-15 16:42:33
MA/LA/96,LA,96,C/EGD/791,Social slight,LEM,2002-07-19 11:14:27,LEM,2002-07-19 11:14:29
MA/LA/97,LA,97,C/LA/3135,Revenge for being called a witch,LEM,2002-07-19 12:51:41,LEM,2002-07-19 12:51:44
